Customer ID,Frequency,TotalSpent,AvgOrderValue,TotalQuantity,AvgQuantity,FirstPurchase,LastPurchase,TotalTransactions,UniqueProducts,Country,CustomerLifetime,WillPurchaseAgain
12346,1,77183.6,77183.6,74215,74215.0,2011-01-18 10:01:00,2011-01-18 10:01:00,1,1,United Kingdom,0,0
12347,7,4310.0,23.681318681318682,2458,13.505494505494505,2010-12-07 14:57:00,2011-12-07 15:52:00,182,103,Iceland,365,1
12348,4,1797.24,57.97548387096774,2341,75.51612903225806,2010-12-16 19:09:00,2011-09-25 13:13:00,31,22,Finland,282,0
12349,1,1757.55,24.076027397260273,631,8.643835616438356,2011-11-21 09:51:00,2011-11-21 09:51:00,73,73,Italy,0,1
12350,1,334.4,19.670588235294115,197,11.588235294117647,2011-02-02 16:01:00,2011-02-02 16:01:00,17,17,Norway,0,0
12352,8,2506.04,29.482823529411764,536,6.305882352941176,2011-02-16 12:33:00,2011-11-03 14:37:00,85,59,Norway,260,0
12353,1,89.0,22.25,20,5.0,2011-05-19 17:47:00,2011-05-19 17:47:00,4,4,Bahrain,0,0
12354,1,1079.4,18.610344827586207,530,9.137931034482758,2011-04-21 13:11:00,2011-04-21 13:11:00,58,58,Spain,0,0
12355,1,459.4,35.33846153846154,240,18.46153846153846,2011-05-09 13:49:00,2011-05-09 13:49:00,13,13,Bahrain,0,0
12356,3,2811.43,47.65135593220339,1591,26.966101694915253,2011-01-18 09:50:00,2011-11-17 08:40:00,59,53,Portugal,302,1
12357,1,6207.67,47.38679389312977,2708,20.671755725190838,2011-11-06 16:07:00,2011-11-06 16:07:00,131,131,Switzerland,0,0
12358,2,1168.06,61.47684210526315,248,13.052631578947368,2011-07-12 10:04:00,2011-12-08 10:26:00,19,13,Austria,149,1
12359,4,6310.03,25.755224489795918,1609,6.56734693877551,2011-01-12 12:43:00,2011-10-13 12:47:00,245,214,Cyprus,274,0
12360,3,2662.06,20.63612403100775,1165,9.031007751937985,2011-05-23 09:43:00,2011-10-18 15:22:00,129,105,Austria,148,0
12361,1,189.9,18.990000000000002,91,9.1,2011-02-25 13:51:00,2011-02-25 13:51:00,10,10,Belgium,0,0
